recipe_num|category
132358|Quick Easy
132358|Mother
132358|Seafood
132358|Holiday
132358|Main
132358|Dinner
24263|Family
24263|Casserole
24263|Mexican
24263|Beef
24263|World
24263|Main
24263|Dinner
261774|Family
261774|Beef
261774|Lowcarb
261774|Main
261774|Dinner
245119|Budget
245119|Quick Easy
245119|Casserole
245119|Breakfast
245119|Main
23600|Dinner
23600|Inspired Cuisine
23600|Italian Inspired
23600|Experienced
23600|Recipe Types
23600|Italian [Ad Channel]
23600|Main Dishes
23600|Seasonings
23600|Herbs
23600|Fennel
23600|Pasta and Noodles Main Dishes
23600|Lasagna Main Dish
23600|[Yahoo] Main Ingredient
23600|[Yahoo] Course/Meal
23600|[Yahoo] Cuisine
23600|[Yahoo] Dishes
23600|[Yahoo] Provider
23600|[Yahoo] Taste & Texture
23600|[Yahoo] Cooking Method
23600|[Yahoo] Beef
23600|[Yahoo] Dinner
23600|[Yahoo] Main Dish
23600|[Yahoo] Italian
23600|[Yahoo] Casserole
23600|[Yahoo] All Recipes
23600|[Yahoo] Rich
23600|[Yahoo] Savory
23600|[Yahoo] Meaty
23600|[Yahoo] Cheesy
23600|[Yahoo] Baking
23600|Allrecipes Magazine
23600|Allrecipes Magazine Logo
23600|Top 200 Recipes (Not Sponsorable)
23600|DMP Segments
23600|ReynoldsFoil
23600|Menus
23600|Top Recipes
23600|Hall of Fame
23600|Sales and Marketing Partners
23600|Home Depot
23600|Kraft
23600|Kraft Homestyle Family Favorites
23600|Licensing
23600|Safeway
23600|Videos (Not Web Shows)
23600|Video Cookbook
23600|Meat
23600|Cheese
23600|Mozzarella Cheese
23600|Pasta and Noodles
23600|Strand and Ribbon Pasta
23600|Lasagna Noodles
23600|Meat
23600|Beef
23600|Ground Beef
23600|Aluminum Foil
23600|Comfort Food
23600|Messy Recipe
23600|Canned Goods
23600|Three Cans
23600|Pork
23600|Pork Sausage
23600|Italian Pork Sausage
23600|90 Plus Minutes
23600|Back to School (Tyson)
23600|World Cuisine
23600|European
23600|Italian
15431|Soup
15431|Beef
15431|Dinner
60037|Low Calorie
60037|Health
60037|Entertaining
60037|Vegetarian
60037|Quick Easy
60037|Easter
60037|Holiday
60037|World
60037|Dinner
277325|Asian
277325|Breakfast
277325|World
260682|Slow
260682|Soup
260682|Dinner
228450|Dinner
228450|Main Dishes
228450|Oven
228450|Baked
228450|1 to 3 Hours
228450|Vegetable
228450|Meat
228450|Pork
228450|Ham
228450|Casserole Main Dishes
228450|Nightshade
228450|Potato
228450|Recipe Types
228450|Recipe (Default) [Ad Channel]
228450|Sales and Marketing Partners
228450|ToH replacement
228450|ReynoldsFoil
228450|Vegetable
228450|Nightshade
228450|Recipe Types
228450|Main Dishes
228450|Casserole Main Dishes
228450|Comfort Food
228450|Family Fun
228450|Swanson's broth subs
228450|Experienced
228450|Main Dish
228450|Pork
228450|Ham
278462|Quick Easy
278462|Soup
278462|Dinner
172704|Budget
172704|Quick Easy
172704|Asian
172704|Beef
172704|World
172704|Main
172704|Dinner
241601|Dinner
241601|Inspired Cuisine
241601|Asian Inspired
241601|Main Dishes
241601|Appliances
241601|Slow Cooker
241601|Moderate Effort
241601|3 to 8 Hours
241601|Hot Temperature
241601|Seeds
241601|Poultry Main Dishes
241601|Poultry
241601|Chicken
241601|Sesame Seeds
241601|Recipe Types
241601|Chicken Breasts
241601|Boneless Chicken Breasts
241601|Chicken - Main Dishes Only [Ad Channel]
241601|Experienced
241601|Allrecipes Magazine
241601|Allrecipes Magazine Logo
241601|HVR Shaker Recipes
241601|World Cuisine
241601|Asian
132127|Dinner
132127|Inspired Cuisine
132127|Italian Inspired
132127|Italian [Ad Channel]
132127|Oven
132127|Baked
132127|Beginner
132127|Recipe Types
132127|Main Dishes
132127|Casserole Main Dishes
132127|Poultry
132127|Chicken
132127|Valentine's Day
132127|30 Minutes to 1 Hour
132127|Savory Flavor
132127|Chicken Breasts
132127|Baked Goods
132127|Boneless Chicken Breasts
132127|Dressing and Stuffing [Ingredient]
132127|Low Effort
132127|Hot Temperature
132127|Budget Conscious
132127|Comfort Food
132127|Family Fun
132127|ReynoldsSlowCooker
132127|Sales and Marketing Partners
132127|Swanson's broth subs
132127|Canned Goods
132127|One Can
132127|World Cuisine
132127|European
132127|Italian
15225|Easter
15225|Italian
15225|Pasta
15225|Holiday
