recipe_num|amount|unit|ingredient_id
132358|0.75|cup|16157
132358|3.0|tablespoon|4342
132358|1.0|teaspoon|16421
132358|2.0|tablespoon|5107
132358|0.125|teaspoon|16406
132358|2.0|pound|2686
24263|1.0|bunch|4405
24263|10.75|ounce|5467
24263|1.5|pound|4147
24263|1.0|cup|16158
24263|6.0|None|2351
24263|1.25|ounce|18765
24263|1.0|None|3725
24263|2.0|cup|16234
24263|0.25|cup|2496
261774|1.0|None|4397
261774|1.0|cup|5460
261774|NaN|None|16421
261774|1.0|tablespoon|16405
261774|0.5|cup|16261
261774|2.0|None|16317
261774|0.5|teaspoon|16396
261774|7.0|tablespoon|16157
261774|1.0|teaspoon|7428
261774|2.0|cup|4378
261774|0.5|teaspoon|16406
261774|2.0|pound|3103
261774|1.0|tablespoon|1684
261774|0.5|teaspoon|16402
245119|NaN|None|16421
245119|1.5|cup|2496
245119|1.5|cup|16215
245119|10.0|ounce|2061
245119|1.0|pound|5861
245119|1.5|ounce|5558
245119|6.0|None|16317
245119|0.5|cup|16278
23600|0.5|cup|2496
23600|2.0|tablespoon|1526
23600|13.0|ounce|4582
23600|0.75|cup|16238
23600|0.5|teaspoon|16394
23600|0.5|cup|4397
23600|1.0|pound|5838
23600|0.75|pound|16234
23600|28.0|ounce|4664
23600|0.75|pound|4147
23600|1.0|teaspoon|20245
23600|2.0|clove|4342
23600|4.0|tablespoon|4409
23600|12.0|ounce|3640
23600|1.5|teaspoon|18681
23600|0.25|teaspoon|16406
23600|16.0|ounce|16243
23600|12.0|None|17660
23600|1.0|None|16317
23600|1.5|teaspoon|16421
15431|1.0|None|4397
15431|1.0|cup|4279
15431|6.0|ounce|3640
15431|1.0|tablespoon|6379
15431|1.0|pound|3868
15431|3.0|None|4442
15431|1.0|teaspoon|16417
15431|14.5|ounce|7120
15431|10.0|ounce|4378
15431|0.25|teaspoon|16407
15431|1.0|sprig|16429
15431|1.0|None|16380
15431|10.0|ounce|4421
60037|1.0|None|4572
60037|1.0|None|5012
60037|1.0|cup|4378
60037|4.0|slice|16246
60037|0.3333333333333333|cup|3767
60037|4.0|slice|2078
277325|1.0|tablespoon|16157
277325|1.0|tablespoon|6294
277325|2.0|teaspoon|2356
277325|0.25|teaspoon|16424
277325|1.0|tablespoon|7842
277325|0.25|cup|1526
277325|1.0|cup|16278
277325|1.0|cup|1684
277325|2.0|None|16317
260682|1.0|None|4397
260682|NaN|None|16421
260682|1.0|teaspoon|18806
260682|6.333333333333333|cup|16133
260682|1.75|cup|16215
260682|1.0|None|4286
260682|3.0|None|16380
228450|3.0|cup|2496
228450|0.125|teaspoon|16406
228450|2.0|None|4292
228450|0.125|teaspoon|16421
228450|0.5|cup|2112
228450|1.0|cup|16215
228450|2.0|teaspoon|4397
228450|2.0|tablespoon|4432
228450|2.0|cup|5267
228450|3.0|tablespoon|1684
228450|1.0|cup|16278
228450|1.0|None|4279
228450|2.0|cup|4442
228450|0.25|cup|16157
278462|1.0|tablespoon|16157
278462|3.0|cup|16133
278462|1.0|tablespoon|9725
278462|60.0|ounce|10041
278462|10.5|ounce|5838
278462|0.5|teaspoon|34832
278462|1.0|bulb|3704
278462|1.0|teaspoon|16423
172704|2.0|None|4572
172704|1.0|None|4432
172704|2.0|tablespoon|1526
172704|2.0|tablespoon|1636
172704|1.0|None|20269
172704|0.5|teaspoon|16397
172704|1.0|pound|4133
172704|3.0|tablespoon|6305
172704|0.25|cup|2882
241601|3.0|tablespoon|2496
241601|1.0|tablespoon|6305
241601|0.25|cup|2882
241601|2.0|teaspoon|1636
241601|1.5|pound|6494
241601|2.0|tablespoon|3686
241601|NaN|None|3752
241601|0.5|teaspoon|16396
241601|0.5|cup|1502
241601|2.0|tablespoon|4399
132127|0.5|cup|2496
132127|15.0|ounce|10498
132127|1.0|teaspoon|16421
132127|1.0|tablespoon|4342
132127|2.0|cup|16234
132127|6.0|ounce|2114
132127|1.5|pound|6494
132127|1.0|tablespoon|20245
15225|10.0|ounce|4520
15225|1.0|pint|16243
15225|1.0|tablespoon|6307
15225|0.25|cup|16238
15225|2.0|tablespoon|4405
15225|21.0|ounce|13705
15225|8.0|None|17660
15225|0.5|teaspoon|16421
15225|1.0|None|16317
15225|1.0|cup|16232
83853|1.0|cup|6057
83853|2.0|tablespoon|16157
83853|1.0|None|16317
83853|1.75|cup|16278
83853|0.5|cup|1525
221286|1.0|cup|4572
221286|0.25|cup|4397
221286|2.0|tablespoon|5107
221286|0.25|cup|3717
221286|NaN|None|16421
221286|2.0|None|5012
221286|1.0|None|3725
22694|1.0|pound|5375
22694|8.0|ounce|5051
22694|4.0|ounce|3767
175989|1.0|None|4397
175989|NaN|None|16421
175989|1.0|tablespoon|6307
175989|2.0|tablespoon|16238
175989|1.0|cup|20611
175989|24.0|None|4378
175989|8.0|ounce|16223
175989|2.0|tablespoon|16261
175989|12.0|ounce|10896
175989|0.5|teaspoon|18740
245429|1.0|tablespoon|3743
245429|0.5|cup|2858
245429|1.0|teaspoon|16424
245429|0.5|cup|3844
245429|1.0|cup|6057
245429|0.5|cup|1338
245429|0.3333333333333333|cup|1502
216756|1.5|teaspoon|7428
216756|1.0|pound|16246
216756|1.5|tablespoon|16409
216756|1.5|tablespoon|18873
216756|24.0|None|22041
216756|1.0|pound|5831
216756|0.75|cup|16157
216756|1.0|tablespoon|4399
15184|1.0|tablespoon|4342
15184|0.25|teaspoon|16402
15184|0.25|cup|16238
15184|12.0|None|4378
15184|1.0|tablespoon|6379
15184|8.0|ounce|16223
15184|0.25|teaspoon|16407
15184|0.25|teaspoon|16406
203800|1.0|clove|4342
203800|NaN|None|16421
203800|3.0|tablespoon|3717
203800|0.5|None|20269
203800|6.0|None|20453
203800|1.0|pinch|20551
203800|0.5|None|3725
203800|1.0|pinch|16396
203800|0.5|None|5111
176957|1.0|bunch|4357
176957|1.0|teaspoon|18741
176957|1.0|tablespoon|6307
239969|1.0|cup|6057
239969|0.5|cup|8610
239969|1.0|teaspoon|16424
239969|0.5|cup|3844
239969|0.5|cup|2857
239969|0.3333333333333333|cup|1502
24909|0.25|cup|4397
24909|5.0|ounce|2698
24909|0.75|cup|3810
24909|6.0|ounce|16223
235095|0.5|cup|26856
235095|24.0|None|5188
235095|1.0|tablespoon|4405
235095|NaN|None|10536
235095|24.0|None|4607
235095|24.0|None|20380
235095|8.0|None|5375
69225|1.0|tablespoon|16157
69225|0.25|cup|1526
69225|24.0|slice|20414
69225|2.0|cup|5233
223012|8.0|clove|4342
223012|10.0|ounce|4520
223012|14.0|ounce|126
223012|8.0|ounce|16260
223012|1.0|None|20415
223012|8.0|ounce|16238
223012|8.0|ounce|8270
223012|1.4|ounce|5660
223012|1.0|cup|11561
16679|1.0|tablespoon|4342
16679|1.0|tablespoon|4663
16679|2.0|tablespoon|4302
16679|0.25|cup|6307
16679|0.5|teaspoon|16404
16679|NaN|None|16421
16679|2.0|pound|2664
16679|6.0|tablespoon|16339
229454|NaN|None|16421
229454|1.0|tablespoon|6307
229454|6.0|None|126
229454|2.0|tablespoon|2112
229454|0.25|cup|16238
229454|0.5|None|5106
229454|1.0|teaspoon|6305
14231|0.5|cup|4397
