recipe_num|title|url|image|servings|prep_time|cook_time|total_time|n_reviews|avg_review
132358|Easy Garlic-Lemon Scallops|https://www.allrecipes.com/recipe/132358/easy-garlic-lemon-scallops/|https://images.media-allrecipes.com/userphotos/560x315/5916120.jpg|6|10|10|20|368|4.58
24263|Ground Beef Enchiladas|https://www.allrecipes.com/recipe/24263/ground-beef-enchiladas/|https://images.media-allrecipes.com/userphotos/560x315/1937864.jpg|6|15|40|55|747|4.45
261774|Low-Carb Salisbury Steak|https://www.allrecipes.com/recipe/261774/low-carb-salisbury-steak/|https://images.media-allrecipes.com/userphotos/560x315/7581453.jpg|6|10|39|49|66|4.54
245119|Biscuits and Gravy Casserole|https://www.allrecipes.com/recipe/245119/biscuits-and-gravy-casserole/|https://images.media-allrecipes.com/userphotos/560x315/4537530.jpg|6|10|35|45|411|4.59
23600|World's Best Lasagna|https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/|https://images.media-allrecipes.com/userphotos/3359675.jpg|12|30|150|195|17744|4.791816952209198
15431|Beef and Vegetable Stew|https://www.allrecipes.com/recipe/15431/beef-and-vegetable-stew/|https://images.media-allrecipes.com/userphotos/560x315/285716.jpg|6|15|145|160|130|4.18
60037|California Melt|https://www.allrecipes.com/recipe/60037/california-melt/|https://images.media-allrecipes.com/userphotos/560x315/3247309.jpg|4|15|2|17|129|4.41
277325|Japanese Souffle Pancakes|https://www.allrecipes.com/recipe/277325/japanese-souffle-pancakes/|https://images.media-allrecipes.com/userphotos/560x315/7308088.jpg|4|15|10|25|19|4.36
260682|Easy Slow Cooker Cauliflower Soup with Cheese|https://www.allrecipes.com/recipe/260682/easy-slow-cooker-cauliflower-soup-with-cheese/|https://images.media-allrecipes.com/userphotos/560x315/4569959.jpg|4|10|240|250|20|3.68
228450|Ham Casserole|https://www.allrecipes.com/recipe/228450/ham-casserole/|https://images.media-allrecipes.com/userphotos/1081675.jpg|8|20|50|75|255|4.427450980392157
278462|Creamy Cannellini Soup|https://www.allrecipes.com/recipe/278462/creamy-cannellini-soup/|https://images.media-allrecipes.com/userphotos/560x315/7664771.jpg|5|10|20|40|24|4.24
