Product|PricePerPound|Quant|PricePerThing
Golden Delicious Apples|0.59|None|None
Pink Lady Apples|1.29|None|None
Organic Fuji Apples|0.89|None|None
Earthbound Farms Organic Romaine Hearts|None|12 ounces|0.99
Spaghetti Squash|0.99|None|None
Butternut Squash|0.99|None|None
Acorn Squash|0.99|None|None
Fuji Apples|0.89|None|None
Spice Supreme Cinnamon Sugar|None|None|1.01
Spice Supreme Cinnamon, Ground, Pure|None|2.5 ounces|1.01
Spice Supreme Nutmeg, Ground, Pure|None|1.25 ounces|2.34
Spice Supreme Pumpkin Pie Spice|None|2.5 ounces|1.42
Pie Pumpkins|1.29|None|None
Kabocha Squash|0.99|10 ounces|None
Gala Apples|0.89|None|None
Red Delicious Apples|0.99|None|None
Valencia Oranges|0.79|None|None
Navel Oranges|0.89|None|None
Sweet Potatoes|0.89|None|None
Plum Tomatoes|0.79|None|None
Loose Idaho Potatoes|0.59|None|None
Honey Crisp Apples|1.29|None|None
Bartlett Pears|0.79|None|None
Avocados|None|None|0.79
Baby Red Potato|0.69|None|None
Red Beet|0.59|None|None
Jalapeno Pepper|0.99|None|None
Organic Honeycrisp Apples|1.99|None|None
Sauders Amish Eggs|None|12|1.79
Cucumbers|0.79|None|None
Spanish Onion (Loose)|0.49|None|None
Organic Bananas Bunch (~5 Bananas)|0.89|None|None
Red Onion (Loose)|0.59|None|None
Sweet Corn|None|None|0.79
Garlic Bulbs (Loose)|3.49|None|None
Green Onions|None|None|0.59
Sweet Onion (Loose)|0.69|None|None
Cilantro|None|None|0.69
Asparagus Bunch|1.49|None|None
Green Peppers|0.99|None|None
Eggplant|0.99|None|None
Pickling Cucumbers|0.99|None|None
Ginger (Loose)|2.99|None|None
Herb Rubbed Rotisserie Chicken, Cooked (Hot)|None|None|6.12
Vine Tomatoes|1.79|None|None
White Mushroom (8Oz)|None|8 ounces|1.79
Iceberg Head Lettuce|None|None|1.29
Artichokes|None|None|2.49
Tomatillos|0.99|None|None
Shallots|1.49|None|None
Medici Demi Baguette|None|None|1.01
Star Fruit|None|None|0.99
Clementines (Bag)|None|None|4.99
Blackberries|None|6 ounces|1.79
California Peach|1.69|None|None
Organic Broccoli Bunch|1.29|None|None
Gerber's Amish Farm Boneless Skinless Fryer Breasts|6.12|None|None
Chives|13.99|None|None
Carrots, Bag|None|None|0.69
Champagne Mangoes (Ataulfo)|None|None|0.59
Sassy Cow Creamery Whole Milk|None|1 gallon|4.08
Tamale, Beef|None|None|1.69
Sauders Amish Eggs|None|12|1.89
Fresh North Atlantic Salmon Fillet|12.99|None|None
Persian Cucumbers|2.49|None|None
String Beans|1.39|None|None
Grape Tomatoes|None|1 pint|0.99
Romaine Lettuce|None|None|0.99
Seedless Cucumber|None|None|0.89
Sassy Cow Creamery 2% Reduced Fat Milk|None|1/2 gallon|2.34
Clementines|1.49|None|None
Sassy Cow Creamery Organic Skim Milk|None|1/2 gallon|4.08
Chicken Salad|6.12|None|None
Gerber's Amish Farm Fryer Drumsticks|2.65|None|None
Snow Peas|2.49|None|None
Portabella Mushrooms|3.49|2|None
Mixed Fruit Cup, Large|None|32 oz.|5.10
Organic Green Onion|None|None|0.69
Gerber's Amish Farm Cutup Fryer|2.65|None|None
Boar's Head Imported Swiss Cheese|8.68|None|None
I Love Produce Fresh Peeled Garlic|None|1 pound|3.99
Radish, Bunch|None|None|1.29
Cut Watermelon,  large|None|32 oz.|5.08
Serrano Pepper|1.49|None|None
Organic Beef Ribeye Steak, Sommers Organic|19.58|2|None
Tanimura & Antle Celery Hearts|None|4|1.49
PRE Grassfed Ground Beef 95/5|None|16 oz.|10.21
Black Lady Finger Grapes|2.49|None|None
Raw Pecan Nuts|5.99|None|None
Furlani Three Cheese Texas Toast|None|None|3.49
Medici White Baton|None|None|2.65
Gerber's Amish Farm Fryer Boneless Breast Tenders|6.12|None|None
Farmer Focus Organic Free Range Boneless Skinless Chicken Breast|9.59|None|None
Mediciry Wheat|None|None|4.08
Oranges Cara Cara|1.29|None|None
Salmon Salad|12.29|None|None
Dill, Bunch - Bunch|None|None|0.99
What's Your Beef Sandwich|None|None|7.99
Ruprecht Pork Tenderlion|11.25|None|None
Hot Hungarian Banana Peppers|2.49|None|None
Sassy Cow Creamery 2% Reduced Fat Milk|None|1 gallon|4.08
Organic Kabocha|1.49|None|None
Mint|13.99|None|None
Organic Valley - Raw Cheddar Cheese|None|None|5.49
Egg Salad|5.09|None|None
Tuna Salad|6.09|None|None
Organic Lacinato Kale|None|None|2.49
Yukon Potatoes (5 LB.)|None|5 pounds|3.99
Beef Salami|7.66|None|None
Extra Firm Tofu|None|None|2.03
Black Seedless Grapes|3.49|None|None
Sanabel Bakery Fresh Pita Bread|None|10|2.02
Tilapia (Farmed, USA)|8.99|None|None
Pomegranate|None|None|5.49
Fresh Boston Lettuce|None|None|0.99
Gerber's Amish Farm Whole Fryer|2.24|None|None
Crab Salad|6.09|None|None
Sweet Anise / Fennel|None|None|2.29
Orange Juice, large|None|32 oz.|5.10
Sassy Cow Creamery Whole Milk|None|1/2 gallon|2.34
Yams|1.49|None|None
Medici White Sandwich Bread|None|None|4.60
Boar's Head Corned Beef|11.75|None|None
Campari Tomatoes|None|None|3.79
Boar's Head Smoked Gouda Cheese|8.68|None|None
Dill Pickles|None|None|0.89
Nina Genuine Italian Peeled Tomatoes|None|None|2.75
Medici Cinnamon Raisin Sandwich Bread|None|None|5.10
Sassy Cow Creamery Whole Milk|None|1 quart|1.73
Sassy Cow Creamery Heavy Whipping Cream|None|1 pint|2.65
Sassy Cow Creamery Half & Half|None|1 quart|1.73
Poblano Peppers|1.49|None|None
Dang That's Good Root Beer|None|None|1.79
Cabot 4 Cheese Shredded Mexican Fine Cut|None|None|3.06
Gerber's Amish Farm Ground Chicken|5.00|None|None
Black Forest Ham|9.71|None|None
Guacamole|5.99|None|None
